ticker,open,close,adj_close,low,high,volume,date
APO,18.06999969,17.87999916,12.13130093,17.79999924,18.15999985,1846600,4/04/2011
AHH,10.82999992,10.85000038,8.01408577,10.77999973,10.93999958,129200,5/08/2013
APO,17.87999916,17.97999954,12.19914818,17.64999962,18.03000069,2353300,5/04/2011
AHH,10.86999989,10.80000019,7.977153778,10.72999954,10.89999962,127500,6/08/2013
APO,18.01000023,18.10000038,12.28056717,17.87999916,18.14999962,474900,6/04/2011
AHH,10.75,10.68999958,7.895907402,10.64999962,10.81999969,128400,7/08/2013
APO,18.34000015,18.01000023,12.21950531,18,18.35000038,702100,7/04/2011
AHH,10.73999977,10.42000008,7.696477413,10.14999962,10.73999977,216700,8/08/2013
APO,18.01000023,18,12.21272182,17.87999916,18.14999962,304500,8/04/2011
AHH,10.38000011,10.35000038,7.64477253,10.11999989,10.47000027,114900,9/08/2013
APO,17.94000053,18.05999947,12.25343037,17.89999962,18.10000038,486000,11/04/2011
AHH,10.27999973,10.64000034,7.858975887,10.27999973,10.73999977,91700,12/08/2013
APO,18.10000038,18.19000053,12.3416357,17.87000084,18.34000015,624600,12/04/2011
AHH,10.55000019,10.31999969,7.622614861,10.14999962,10.55000019,107400,13/08/2013
AHH,10.30000019,10.21000004,7.5413661,10.10000038,10.35000038,109300,14/08/2013
AHH,10.14999962,9.739999771,7.194211483,9.729999542,10.18999958,165000,15/08/2013
AHH,9.699999809,9.399999619,6.943078995,9.359999657,9.93999958,153600,16/08/2013
AHH,9.430000305,9.050000191,6.684560299,9.039999962,9.460000038,165600,19/08/2013
AHH,9,9.210000038,6.80273962,8.890000343,9.329999924,387400,20/08/2013
AHH,9.159999847,9.470000267,6.994782448,9.149999619,9.600000381,68200,21/08/2013
AHH,9.479999542,9.619999886,7.105576038,9.220000267,9.630000114,75600,22/08/2013
AHH,9.739999771,9.680000305,7.149896145,9.600000381,9.859999657,103000,23/08/2013
AHH,9.659999847,9.880000114,7.297618866,9.630000114,9.949999809,77300,26/08/2013
AHH,9.880000114,9.779999733,7.223756313,9.760000229,9.909999847,105100,27/08/2013
AHH,9.800000191,9.390000343,6.93569231,9.31000042,9.890000343,77000,28/08/2013
AHH,9.350000381,9.399999619,6.943078995,9.350000381,9.680000305,83900,29/08/2013
AHH,9.380000114,9.390000343,6.93569231,9.350000381,9.43999958,75500,30/08/2013
AHH,9.420000076,9.279999733,6.854444504,9.270000458,9.470000267,53900,3/09/2013
AHH,9.270000458,9.350000381,6.90614748,9.260000229,9.5,124300,4/09/2013
AHH,9.409999847,9.359999657,6.913535118,9.279999733,9.449999809,60200,5/09/2013
AHH,9.420000076,9.43999958,6.972623348,9.239999771,9.489999771,43100,6/09/2013
AHH,9.5,9.829999924,7.260685921,9.489999771,9.899999619,59600,9/09/2013
AHH,9.800000191,9.510000229,7.024330616,9.329999924,9.819999695,104800,10/09/2013
AHH,9.479999542,9.409999847,6.950464725,9.390000343,9.619999886,75900,11/09/2013
AHH,9.399999619,9.529999733,7.039100647,9.300000191,9.550000191,73000,12/09/2013
AHH,9.569999695,9.529999733,7.039100647,9.31000042,9.569999695,83200,13/09/2013
AHH,9.649999619,9.489999771,7.00955677,9.300000191,9.649999619,67200,16/09/2013
AHH,9.460000038,9.619999886,7.105576038,9.380000114,9.659999847,92800,17/09/2013
AHH,9.590000153,9.890000343,7.305004597,9.5,9.970000267,74300,18/09/2013
AHH,9.869999886,10.11999989,7.474889278,9.850000381,10.17000008,101300,19/09/2013
AHH,10.18000031,10.89000034,8.043632507,10.10999966,11,293700,20/09/2013
AHH,10.89000034,10.80000019,7.977153778,10.73999977,10.93000031,88700,23/09/2013
AHH,10.77000046,10.77999973,7.962382793,10.65999985,11,86200,24/09/2013
AHH,10.77999973,10.44999981,7.718636513,10.35000038,10.86999989,124300,25/09/2013
AHH,10.35999966,10.60000038,7.829431057,10.35000038,10.64000034,81800,26/09/2013
AHH,10.31000042,10.06999969,7.551949501,9.81000042,10.39999962,89100,27/09/2013
AHH,10.02999973,9.909999847,7.431958199,9.720000267,10.02999973,94100,30/09/2013
